,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-18,2020-02-19,2020-02-20,2020-02-21
CTSH,69.16072082519531,68.98129272460938,69.2105712890625,69.38999938964844,68.41999816894531,68.83000183105469,68.87999725341797,69.55999755859375,70.08999633789062
CMCSA,44.65999984741211,44.790000915527344,46.02000045776367,46.06999969482422,46.09000015258789,46.150001525878906,45.970001220703125,46.02000045776367,45.81999969482422
COST,313.7900085449219,310.67999267578125,315.1199951171875,318.20001220703125,318.30999755859375,322.04998779296875,323.0199890136719,324.0799865722656,321.95001220703125
CSX,78.87999725341797,78.5199966430664,79.48999786376953,79.83999633789062,79.58999633789062,79.51000213623047,80.16999816894531,80.44999694824219,79.55999755859375
DLTR,87.18000030517578,88.19000244140625,89.5199966430664,89.2699966430664,88.68000030517578,91.08000183105469,91.98999786376953,93.22000122070312,93.88999938964844
EBAY,36.02000045776367,36.439998626708984,37.150001525878906,37.189998626708984,38.13999938964844,37.869998931884766,37.529998779296875,37.689998626708984,38.20000076293945
EA,108.69999694824219,109.04000091552734,109.72000122070312,108.83999633789062,109.69000244140625,109.45999908447266,109.77999877929688,109.19999694824219,108.01000213623047
EXPE,108.70999908447266,109.19999694824219,110.97000122070312,110.58999633789062,122.80000305175781,121.0999984741211,121.87999725341797,121.66000366210938,120.12000274658203
FB,213.05999755859375,207.19000244140625,210.75999450683594,213.13999938964844,214.17999267578125,217.8000030517578,217.49000549316406,214.5800018310547,210.17999267578125
FAST,36.939998626708984,37.81999969482422,38.34000015258789,38.2400016784668,38.31999969482422,38.290000915527344,38.290000915527344,39.02000045776367,38.86000061035156
FISV,123.20999908447266,120.70999908447266,119.13999938964844,121.05999755859375,122.31999969482422,122.25,123.55000305175781,121.83999633789062,119.48999786376953
FOXA,37.29999923706055,37.130001068115234,37.66999816894531,38.0,37.79999923706055,37.779998779296875,38.029998779296875,37.029998779296875,35.9900016784668
FOX,36.779998779296875,36.61000061035156,37.15999984741211,37.52000045776367,37.310001373291016,37.220001220703125,37.529998779296875,36.540000915527344,35.5
GILD,68.98999786376953,67.76000213623047,66.94999694824219,66.80000305175781,67.55999755859375,67.01000213623047,67.3499984741211,67.0,69.69999694824219
HAS,100.9000015258789,100.0999984741211,98.19999694824219,96.98999786376953,97.70999908447266,97.41999816894531,97.68000030517578,98.87999725341797,89.97000122070312
HSIC,70.18000030517578,70.88999938964844,71.86000061035156,71.51000213623047,72.12999725341797,72.98999786376953,73.70999908447266,68.91999816894531,67.54000091552734
IDXX,279.1499938964844,283.3800048828125,283.2799987792969,285.04998779296875,288.7799987792969,286.75,290.9700012207031,281.45001220703125,278.1099853515625
ILMN,294.4100036621094,296.0,293.2799987792969,291.3800048828125,298.9200134277344,299.9200134277344,303.20001220703125,300.4599914550781,295.94000244140625
INCY,75.11000061035156,76.13999938964844,75.83000183105469,78.05000305175781,78.44999694824219,79.30000305175781,82.41999816894531,82.7699966430664,80.88999938964844
INTC,66.38999938964844,67.41000366210938,67.45999908447266,67.44000244140625,67.2699966430664,66.13999938964844,67.11000061035156,65.44999694824219,64.33999633789062
INTU,297.739990234375,296.9200134277344,298.6499938964844,297.8399963378906,304.2900085449219,303.57000732421875,305.6099853515625,301.239990234375,297.57000732421875
ISRG,584.9299926757812,587.8200073242188,592.8400268554688,600.3499755859375,603.3599853515625,604.6699829101562,614.8800048828125,618.2899780273438,613.0800170898438
JBHT,112.06999969482422,112.41000366210938,113.95999908447266,114.2300033569336,110.06999969482422,109.61000061035156,110.11000061035156,109.95999908447266,109.69999694824219
JD,40.099998474121094,40.779998779296875,41.63999938964844,42.0099983215332,41.970001220703125,42.31999969482422,42.95000076293945,41.47999954223633,40.41999816894531
KLAC,168.08995056152344,172.189697265625,175.1053009033203,177.841796875,175.41378784179688,168.39842224121094,172.12998962402344,167.3000030517578,161.1199951171875
LRCX,319.8299865722656,325.6700134277344,334.6199951171875,341.5799865722656,339.29998779296875,325.3399963378906,333.8500061035156,328.489990234375,316.79998779296875
LBTYK,19.31999969482422,20.290000915527344,20.459999084472656,20.25,19.450000762939453,19.34000015258789,19.760000228881836,20.290000915527344,20.209999084472656
LBTYA,20.280000686645508,21.329999923706055,21.440000534057617,21.110000610351562,20.329999923706055,20.290000915527344,20.780000686645508,21.40999984741211,21.270000457763672
LULU,248.5399932861328,251.5800018310547,253.94000244140625,253.86000061035156,254.41000366210938,259.2300109863281,262.510009765625,263.67999267578125,255.89999389648438
MAR,145.72999572753906,147.19000244140625,150.77999877929688,146.72000122070312,144.89999389648438,144.94000244140625,147.6300048828125,146.83999633789062,143.24000549316406
MXIM,63.0,63.70000076293945,64.47000122070312,64.30000305175781,63.560001373291016,62.45000076293945,63.20000076293945,62.43000030517578,61.16999816894531
MELI,658.22998046875,651.6199951171875,699.8200073242188,718.530029296875,735.010009765625,728.4500122070312,742.739990234375,742.5900268554688,735.5999755859375
MCHP,107.78858184814453,108.49620819091797,109.3333969116211,110.00115966796875,108.99453735351562,106.60255432128906,109.45299530029297,108.12999725341797,105.08000183105469
MU,57.33000183105469,57.25,59.27000045776367,59.33000183105469,58.5,57.75,59.9900016784668,59.0,56.9900016784668
MSFT,188.1859893798828,183.93760681152344,184.2068634033203,183.2095947265625,184.84512329101562,186.72000122070312,187.27999877929688,184.4199981689453,178.58999633789062
MDLZ,58.970001220703125,58.869998931884766,58.95000076293945,59.029998779296875,59.68000030517578,59.65999984741211,59.29999923706055,59.040000915527344,58.75
MNST,69.16999816894531,69.1500015258789,69.25,69.69000244140625,69.86000061035156,69.5999984741211,70.08000183105469,70.4000015258789,69.73999786376953
MYL,22.6200008392334,22.350000381469727,22.15999984741211,21.639999389648438,21.899999618530273,21.280000686645508,20.899999618530273,20.93000030517578,21.149999618530273
NTAP,58.060001373291016,59.08000183105469,60.81999969482422,55.18000030517578,54.2400016784668,53.43000030517578,53.209999084472656,53.709999084472656,52.0
NTES,352.5,350.9700012207031,348.30999755859375,354.3299865722656,354.6400146484375,352.739990234375,356.7799987792969,349.8299865722656,344.989990234375
NFLX,371.07000732421875,373.69000244140625,380.010009765625,381.3999938964844,380.3999938964844,387.7799987792969,386.19000244140625,386.0,380.07000732421875
NVDA,262.9700012207031,267.8900146484375,272.5400085449219,270.7799987792969,289.7900085449219,296.57000732421875,314.70001220703125,308.70001220703125,294.07000732421875
NXPI,133.19000244140625,135.52000427246094,137.8300018310547,138.69000244140625,137.0800018310547,133.8699951171875,134.9499969482422,134.8000030517578,130.5
ORLY,391.30999755859375,389.760009765625,392.4700012207031,392.6000061035156,390.8900146484375,395.989990234375,392.1499938964844,395.17999267578125,391.5
PCAR,75.30999755859375,75.66000366210938,76.55999755859375,74.83000183105469,74.73999786376953,74.30000305175781,74.2300033569336,75.54000091552734,75.36000061035156
PAYX,88.48999786376953,87.80000305175781,87.97000122070312,88.5999984741211,89.20999908447266,89.36000061035156,90.11000061035156,90.2300033569336,89.05000305175781
PYPL,120.05999755859375,118.83999633789062,118.55999755859375,120.51000213623047,122.98999786376953,122.2699966430664,123.91000366210938,122.43000030517578,119.48999786376953
PEP,145.66000366210938,146.0800018310547,146.0800018310547,146.47000122070312,146.99000549316406,145.60000610351562,145.52999877929688,145.16000366210938,145.85000610351562
QCOM,88.5999984741211,90.0,91.72000122070312,90.02999877929688,89.5999984741211,88.02999877929688,90.55999755859375,89.47000122070312,87.02999877929688
REGN,386.2099914550781,396.75,406.29998779296875,398.80999755859375,399.54998779296875,397.6499938964844,400.80999755859375,399.1400146484375,403.1499938964844
ROST,118.26000213623047,119.69999694824219,120.05999755859375,120.5999984741211,121.77999877929688,122.48999786376953,122.94000244140625,123.80999755859375,123.23999786376953
SIRI,7.186999797821045,7.159999847412109,7.210000038146973,7.230000019073486,7.210000038146973,7.239999771118164,7.25,7.340000152587891,7.239999771118164
SWKS,116.27999877929688,119.16999816894531,123.05000305175781,122.58999633789062,118.98999786376953,116.7699966430664,119.13999938964844,117.5,114.62999725341797
SBUX,87.52999877929688,87.51000213623047,88.56999969482422,89.93000030517578,89.27999877929688,89.2300033569336,90.13999938964844,88.5999984741211,87.36000061035156
