,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-18,2020-02-19,2020-02-20,2020-02-21
NFLX,365.0,373.75,377.17999267578125,376.9599914550781,381.4700012207031,379.29998779296875,388.1199951171875,386.55999755859375,385.3299865722656
NVDA,252.5,267.32000732421875,270.010009765625,270.2099914550781,287.260009765625,285.6400146484375,301.489990234375,312.7699890136719,304.19000244140625
NXPI,130.75,134.1300048828125,136.5800018310547,136.8699951171875,138.8800048828125,134.41000366210938,134.91000366210938,134.3300018310547,134.58999633789062
ORLY,385.3299865722656,388.1300048828125,391.19000244140625,391.8399963378906,393.5899963378906,393.2300109863281,394.9599914550781,391.1499938964844,393.29998779296875
PCAR,74.79000091552734,75.73999786376953,76.0,76.01000213623047,74.69999694824219,74.56999969482422,74.37000274658203,74.16999816894531,75.0
PAYX,87.8499984741211,88.75,88.23999786376953,87.69999694824219,88.51000213623047,89.3499984741211,89.72000122070312,90.29000091552734,89.94999694824219
PYPL,118.55999755859375,120.76000213623047,118.8499984741211,118.04000091552734,120.88999938964844,122.58000183105469,122.62999725341797,123.86000061035156,121.72000122070312
PEP,145.92999267578125,146.2100067138672,146.67999267578125,145.25,146.57000732421875,147.11000061035156,145.6199951171875,145.77000427246094,145.05999755859375
QCOM,86.77999877929688,89.37000274658203,91.6500015258789,91.02999877929688,90.55000305175781,87.83000183105469,88.91999816894531,90.80999755859375,88.55999755859375
REGN,378.1600036621094,390.2099914550781,398.1300048828125,406.44000244140625,399.1000061035156,396.82000732421875,397.8599853515625,399.8999938964844,396.07000732421875
ROST,116.88999938964844,119.04000091552734,120.4800033569336,119.76000213623047,120.91000366210938,121.58000183105469,122.95999908447266,122.83999633789062,123.26000213623047
SIRI,7.130000114440918,7.199999809265137,7.170000076293945,7.210000038146973,7.230000019073486,7.190000057220459,7.21999979019165,7.28000020980835,7.329999923706055
SWKS,112.45999908447266,117.37999725341797,120.61000061035156,121.83999633789062,122.83999633789062,116.06999969482422,118.08000183105469,118.77999877929688,116.8499984741211
SBUX,86.43000030517578,87.86000061035156,87.70999908447266,88.5,90.18000030517578,89.37000274658203,89.48999786376953,89.7300033569336,88.0
SNPS,153.63999938964844,157.8800048828125,158.1999969482422,158.77999877929688,162.00999450683594,164.00999450683594,165.24000549316406,159.05999755859375,153.52000427246094
TTWO,112.5,111.0,112.52999877929688,113.66000366210938,112.58000183105469,113.23999786376953,114.0999984741211,113.33999633789062,114.69999694824219
TSLA,800.0,768.7899780273438,777.8699951171875,741.8400268554688,787.219970703125,841.5999755859375,923.5,911.9500122070312,906.97998046875
TXN,127.55000305175781,130.47000122070312,131.64999389648438,131.8800048828125,133.47999572753906,131.10000610351562,132.89999389648438,132.61000061035156,130.75999450683594
KHC,29.649999618530273,29.889999389648438,30.170000076293945,29.115999221801758,27.850000381469727,26.770000457763672,27.360000610351562,27.270000457763672,27.200000762939453
TMUS,85.41000366210938,93.69999694824219,94.0,95.12000274658203,95.26000213623047,96.8499984741211,101.16000366210938,100.0999984741211,98.97000122070312
ULTA,295.0,294.8900146484375,294.1600036621094,298.0299987792969,297.29998779296875,295.4599914550781,299.8999938964844,296.04998779296875,299.760009765625
UAL,78.94999694824219,80.0199966430664,81.08000183105469,81.0,81.0199966430664,79.0,80.94000244140625,79.30000305175781,79.4000015258789
VRSN,205.50999450683594,206.30999755859375,204.6699981689453,207.39999389648438,210.0,209.39999389648438,210.88999938964844,210.27000427246094,207.72000122070312
VRSK,168.7899932861328,170.1699981689453,167.9199981689453,169.0500030517578,170.4199981689453,170.8000030517578,165.47999572753906,168.8699951171875,168.69000244140625
VRTX,239.22000122070312,245.0,247.61000061035156,241.41000366210938,241.24000549316406,244.9199981689453,249.85000610351562,247.2899932861328,247.3000030517578
WBA,53.290000915527344,53.540000915527344,53.41999816894531,54.310001373291016,53.720001220703125,52.40999984741211,51.81999969482422,52.06999969482422,51.86000061035156
WDC,66.4000015258789,69.13999938964844,69.69999694824219,69.16000366210938,70.13999938964844,67.72000122070312,68.9800033569336,69.5999984741211,68.4800033569336
WLTW,208.5800018310547,215.39999389648438,213.22999572753906,212.72000122070312,211.61000061035156,214.02000427246094,213.38999938964844,211.4600067138672,208.5
WDAY,191.9199981689453,196.0,194.25999450683594,194.5,196.8699951171875,196.8800048828125,200.39999389648438,196.0,190.0
WYNN,126.0,128.60000610351562,136.0399932861328,134.27000427246094,133.35000610351562,132.22999572753906,134.50999450683594,134.22999572753906,131.50999450683594
XEL,68.91000366210938,69.05999755859375,68.75,69.08000183105469,69.98999786376953,70.62999725341797,70.94000244140625,70.73999786376953,70.72000122070312
XLNX,85.0,87.76000213623047,91.0,90.05000305175781,90.94999694824219,88.61000061035156,90.37999725341797,90.55999755859375,89.13999938964844
